Code,Longitude,Latitude,County,State,City,Name,ID2,ID,Depart,
COS,-104.70025,38.80580556,USA,CO,Colorado Springs,City of Colorado Springs Muni,1055.5,1056,0,0
ONT,-117.6011944,34.056,USA,CA,Ontario,Ontario International,1056,1056,1,0
COS,-104.70025,38.80580556,USA,CO,Colorado Springs,City of Colorado Springs Muni,1056.5,1057,0,0
ORD,-87.90446417,41.979595,USA,IL,Chicago,Chicago O'Hare International,1057,1057,1,0
COS,-104.70025,38.80580556,USA,CO,Colorado Springs,City of Colorado Springs Muni,1057.5,1058,0,0
PHX,-112.0080556,33.43416667,USA,AZ,Phoenix,Phoenix Sky Harbor International,1058,1058,1,0
COS,-104.70025,38.80580556,USA,CO,Colorado Springs,City of Colorado Springs Muni,1058.5,1059,0,0
SAN,-117.1896567,32.73355611,USA,CA,San Diego,San Diego International-Lindbergh,1059,1059,1,0
COS,-104.70025,38.80580556,USA,CO,Colorado Springs,City of Colorado Springs Muni,1059.5,1060,0,0
SFO,-122.3748433,37.61900194,USA,CA,San Francisco,San Francisco International,1060,1060,1,0
COS,-104.70025,38.80580556,USA,CO,Colorado Springs,City of Colorado Springs Muni,1060.5,1061,0,0
SLC,-111.9777731,40.78838778,USA,UT,Salt Lake City,Salt Lake City Intl,1061,1061,1,0
COS,-104.70025,38.80580556,USA,CO,Colorado Springs,City of Colorado Springs Muni,1061.5,1062,0,0
SMF,-121.5907669,38.69542167,USA,CA,Sacramento,Sacramento International,1062,1062,1,0
CPR,-106.4644661,42.90835556,USA,WY,Casper,Natrona County Intl,1062.5,1063,0,0
DEN,-104.6670019,39.85840806,USA,CO,Denver,Denver Intl,1063,1063,1,0
CPR,-106.4644661,42.90835556,USA,WY,Casper,Natrona County Intl,1063.5,1064,0,0
MSP,-93.2169225,44.88054694,USA,MN,Minneapolis,Minneapolis-St Paul Intl,1064,1064,1,0
CPR,-106.4644661,42.90835556,USA,WY,Casper,Natrona County Intl,1064.5,1065,0,0
ORD,-87.90446417,41.979595,USA,IL,Chicago,Chicago O'Hare International,1065,1065,1,0
CPR,-106.4644661,42.90835556,USA,WY,Casper,Natrona County Intl,1065.5,1066,0,0
PIH,-112.5958611,42.91130556,USA,ID,Pocatello,Pocatello Regional,1066,1066,1,0
CPR,-106.4644661,42.90835556,USA,WY,Casper,Natrona County Intl,1066.5,1067,0,0
SLC,-111.9777731,40.78838778,USA,UT,Salt Lake City,Salt Lake City Intl,1067,1067,1,0
CRP,-97.50121528,27.77036083,USA,TX,Corpus Christi,Corpus Christi International,1067.5,1068,0,0
ATL,-84.42694444,33.64044444,USA,GA,Atlanta,William B Hartsfield-Atlanta Intl,1068,1068,1,0
CRP,-97.50121528,27.77036083,USA,TX,Corpus Christi,Corpus Christi International,1068.5,1069,0,0
DFW,-97.0372,32.89595056,USA,TX,Dallas-Fort Worth,Dallas-Fort Worth International,1069,1069,1,0
CRP,-97.50121528,27.77036083,USA,TX,Corpus Christi,Corpus Christi International,1069.5,1070,0,0
HOU,-95.27888889,29.64541861,USA,TX,Houston,William P Hobby,1070,1070,1,0
CRP,-97.50121528,27.77036083,USA,TX,Corpus Christi,Corpus Christi International,1070.5,1071,0,0
IAH,-95.33972222,29.98047222,USA,TX,Houston,George Bush Intercontinental,1071,1071,1,0
CRW,-81.59318972,38.37315083,USA,WV,Charleston,Yeager,1071.5,1072,0,0
ATL,-84.42694444,33.64044444,USA,GA,Atlanta,William B Hartsfield-Atlanta Intl,1072,1072,1,0
CRW,-81.59318972,38.37315083,USA,WV,Charleston,Yeager,1072.5,1073,0,0
BNA,-86.67818222,36.12447667,USA,TN,Nashville,Nashville International,1073,1073,1,0
CRW,-81.59318972,38.37315083,USA,WV,Charleston,Yeager,1073.5,1074,0,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1074,1074,1,0
CRW,-81.59318972,38.37315083,USA,WV,Charleston,Yeager,1074.5,1075,0,0
DTW,-83.34883583,42.21205889,USA,MI,Detroit,Detroit Metropolitan-Wayne County,1075,1075,1,0
CRW,-81.59318972,38.37315083,USA,WV,Charleston,Yeager,1075.5,1076,0,0
IAH,-95.33972222,29.98047222,USA,TX,Houston,George Bush Intercontinental,1076,1076,1,0
CRW,-81.59318972,38.37315083,USA,WV,Charleston,Yeager,1076.5,1077,0,0
LEX,-84.60538889,38.03697222,USA,KY,Lexington,Blue Grass,1077,1077,1,0
CRW,-81.59318972,38.37315083,USA,WV,Charleston,Yeager,1077.5,1078,0,0
ORD,-87.90446417,41.979595,USA,IL,Chicago,Chicago O'Hare International,1078,1078,1,0
CSG,-84.93886111,32.51633333,USA,GA,Columbus,Columbus Metropolitan,1078.5,1079,0,0
ATL,-84.42694444,33.64044444,USA,GA,Atlanta,William B Hartsfield-Atlanta Intl,1079,1079,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1079.5,1080,0,0
ABE,-75.44040167,40.65236278,USA,PA,Allentown,Lehigh Valley International,1080,1080,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1080.5,1081,0,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,1081,1081,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1081.5,1082,0,0
ALB,-73.80297861,42.74811944,USA,NY,Albany,Albany Cty,1082,1082,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1082.5,1083,0,0
ANC,-149.9961856,61.17432028,USA,AK,Anchorage,Ted Stevens Anchorage International,1083,1083,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1083.5,1084,0,0
ATL,-84.42694444,33.64044444,USA,GA,Atlanta,William B Hartsfield-Atlanta Intl,1084,1084,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1084.5,1085,0,0
ATW,-88.51947556,44.25740806,USA,WI,Appleton,Outagamie County Regional,1085,1085,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1085.5,1086,0,0
AUS,-97.66987194,30.19453278,USA,TX,Austin,Austin-Bergstrom International,1086,1086,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1086.5,1087,0,0
AVL,-82.54180556,35.43619444,USA,NC,Asheville,Asheville Regional,1087,1087,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1087.5,1088,0,0
AVP,-75.7242675,41.33814944,USA,PA,Wilkes-Barre/Scranton,Wilkes-Barre/Scranton Intl,1088,1088,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1088.5,1089,0,0
AZO,-85.5520575,42.234875,USA,MI,Kalamazoo,Kalamazoo County,1089,1089,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1089.5,1090,0,0
BDL,-72.68322833,41.93887417,USA,CT,Windsor Locks,Bradley International,1090,1090,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1090.5,1091,0,0
BGR,-68.82813889,44.80744444,USA,ME,Bangor,Bangor International,1091,1091,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1091.5,1092,0,0
BHM,-86.75354972,33.56294306,USA,AL,Birmingham,Birmingham International,1092,1092,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1092.5,1093,0,0
BNA,-86.67818222,36.12447667,USA,TN,Nashville,Nashville International,1093,1093,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1093.5,1094,0,0
BOS,-71.00517917,42.3643475,USA,MA,Boston,Gen Edw L Logan Intl,1094,1094,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1094.5,1095,0,0
BTR,-91.14963444,30.53316083,USA,LA,Baton Rouge,"Baton Rouge Metropolitan, Ryan",1095,1095,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1095.5,1096,0,0
BTV,-73.1503125,44.47300361,USA,VT,Burlington,Burlington International,1096,1096,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1096.5,1097,0,0
BUF,-78.73216667,42.94052472,USA,NY,Buffalo,Buffalo Niagara Intl,1097,1097,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1097.5,1098,0,0
BWI,-76.66819833,39.17540167,USA,MD,Baltimore,Baltimore-Washington International,1098,1098,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1098.5,1099,0,0
CAE,-81.11953944,33.93884,USA,SC,Columbia,Columbia Metropolitan,1099,1099,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1099.5,1100,0,0
CAK,-81.44246556,40.91631194,USA,OH,Akron,Akron-Canton Regional,1100,1100,1,0
